,Variable,Valor
0,Total anual,6860
1,Entidad,Entidad_%
2,México,13.7
3,Chihuahua,7.1
4,Guanajuato,6.3
5,Guerrero,6.2
6,Baja California,6.0
7,Escolaridad,Escolaridad_%
8,Secundaria completa,28.2
9,Primaria completa,22.9
10,No especificado,18.5
11,Lugar,Lugar_%
12,Vía pública,50.8
13,Hogar,21.3
14,Embarazo,Embarazo_%
15,"Si, o en fase posterior",1.9
16,No,26.9
17,No especificado ,56.6
18,Area Urbana,Area Urbana_%
19,Urbano,77.5
20,Violencia Familiar,Violencia Familiar_%
21,Violencia familiar o de fuera,1.7
22,No especificado,98.3
23,Edad Agrupada,Edad Agrupada_%
24,De 20 a 39 años,50.4
25,De 40 a 55 años,19.8
26,De 15 a 19 años,9.3
27,De 55 a 74 años,9.0
28,Edad no  especificada,3.6
29,Ocupación,Ocupación_%
30,No trabaja,47.2
31,No especificada,25.5
32,Trabaja,25.2
33,Parentesco c/agresor,Parentesco c/agresor_%
34,No especificado,97.8
35,Familia nuclear,1.5
36,Ninguno,0.5
37,Estado Civil,Civil_%
38,Soltera,40.6
39,Casada,19.0
40,Unión libre,16.7
41,Estado civil no especificado,11.5
