,Variable,Valor
0,Total anual,4766
1,Entidad,Entidad_%
2,México,17.0
3,Guerrero,9.2
4,Jalisco,6.2
5,Chihuahua,6.0
6,Ciudad de México,5.7
7,Escolaridad,Escolaridad_%
8,Secundaria completa,21.9
9,Primaria completa,14.6
10,No especificado,11.5
11,Lugar,Lugar_%
12,Vía pública,44.7
13,Hogar,26.0
14,Embarazo,Embarazo_%
15,"Si, o en fase posterior",1.4
16,No,17.5
17,No especificado ,63.5
18,Area Urbana,Area Urbana_%
19,Urbano,73.7
20,Violencia Familiar,Violencia Familiar_%
21,Violencia familiar o de fuera,5.8
22,No especificado,94.2
23,Edad Agrupada,Edad Agrupada_%
24,De 20 a 39 años,38.0
25,De 40 a 55 años,17.8
26,De 35 a 39 años,11.1
27,Ocupación,Ocupación_%
28,No trabaja,47.6
29,Ocupaciones insuficientemente especificadas,16.4
30,Ocupación no especificada,9.4
31,Parentesco c/agresor,Parentesco c/agresor_%
32,No especificado,94.1
33,Familia nuclear,3.7
34,Ninguno,1.8
35,Estado Civil,Civil_%
36,Soltera,38.0
37,Casada,19.6
38,Unión libre,16.8
